Time Period,start:,2021-01-15 11:06:03,end:,
Sensors:,SDS011_1
Location:,NX01Loc_GPS,Lat-Lon,lat,lon
Interval time,30
time,lat,lon,alt,sds-pm2.5,sds-pm10,sds-TSP
2021-01-15 11:06:03,51.460833463,0.516233282,nan,nan,nan,nan,999
2021-01-15 11:07:00,51.56575723,0.183356611,nan,nan,nan,nan,999
2021-01-15 11:07:33,51.56580183,0.183396792,nan,nan,nan,nan,999
2021-01-15 11:08:03,51.565829948,0.183367585,10.568,nan,nan,nan,999
2021-01-15 11:08:33,51.565850419,0.183169582,18.323,nan,nan,nan,999
2021-01-15 11:09:03,nan,nan,nan,8.2,11.4,15.8,0
2021-01-15 11:09:33,nan,nan,nan,8.0,12.4,16.6,0
2021-01-15 11:10:03,nan,nan,nan,8.0,12.4,16.6,0
2021-01-15 11:10:33,nan,nan,nan,nan,nan,nan,999
2021-01-15 11:11:03,nan,nan,nan,nan,nan,nan,999
2021-01-15 11:11:33,nan,nan,nan,nan,nan,nan,999
2021-01-15 11:12:03,nan,nan,nan,9.0,14.4,19.6,0
2021-01-15 11:12:33,51.565809321,0.183172192,nan,nan,nan,nan,999
2021-01-15 11:13:03,nan,nan,nan,nan,nan,nan,999
2021-01-15 11:13:33,nan,nan,nan,nan,nan,nan,999
2021-01-15 11:14:03,nan,nan,nan,nan,nan,nan,999
2021-01-15 11:14:33,51.5656875,0.183467,10.2,nan,nan,nan,999
2021-01-15 11:15:03,nan,nan,nan,nan,nan,nan,999
2021-01-15 11:15:33,nan,nan,nan,nan,nan,nan,999
2021-01-15 11:16:03,nan,nan,nan,nan,nan,nan,999
2021-01-15 11:16:33,nan,nan,nan,nan,nan,nan,999
2021-01-15 11:17:03,nan,nan,nan,nan,nan,nan,999
2021-01-15 11:17:33,nan,nan,nan,nan,nan,nan,999
2021-01-15 11:18:03,nan,nan,nan,nan,nan,nan,999
2021-01-15 11:18:33,nan,nan,nan,nan,nan,nan,999
2021-01-15 11:19:03,51.566113667,0.183061,-40.9,nan,nan,nan,999
2021-01-15 11:19:33,51.5657775,0.183429,-39.8,9.2,13.4,18.8,0
2021-01-15 11:20:03,51.565626,0.183635333,-39.2,nan,nan,nan,999
2021-01-15 11:20:33,51.565639,0.183626167,-35.4,9.4,14.7,20.3,0
2021-01-15 11:21:03,51.565578667,0.183708,-35.4,9.3,13.7,19.2,0
2021-01-15 11:21:33,51.565785667,0.183435167,-33.3,nan,nan,nan,999
2021-01-15 11:22:03,51.565860667,0.183337333,-35.0,nan,nan,nan,999
2021-01-15 11:22:33,51.5658845,0.183317333,-34.2,nan,nan,nan,999
2021-01-15 11:23:03,51.56591057,0.183306857,-32.959,nan,nan,nan,999
2021-01-15 11:23:33,51.5658885,0.183287833,-25.4,nan,nan,nan,999
